business_id,rating,user_id
Bachata Rosa,5,1.1555531733618288e+20
Bachata Rosa,5,1.168683985741959e+20
Bachata Rosa,1,1.0898020753291964e+20
Zampini's Bottega,5,1.047022032410506e+20
Zampini's Bottega,5,1.0177046793955536e+20
Zampini's Bottega,5,1.123271807547656e+20
Zampini's Bottega,5,1.0162375103734276e+20
Choices Cafe,5,1.0494640933984947e+20
Choices Cafe,5,1.089759203368391e+20
Choices Cafe,4,1.0910776748367553e+20
Choices Cafe,5,1.1742321839989116e+20
Choices Cafe,5,1.0448685045368914e+20
Choices Cafe,5,1.0612991443256474e+20
Biscayne Backyard Barbecue,1,1.0897066064859544e+20
Biscayne Backyard Barbecue,5,1.015951598273174e+20
Biscayne Backyard Barbecue,5,1.073797038081791e+20
Biscayne Backyard Barbecue,3,1.0535858863303269e+20
Biscayne Backyard Barbecue,4,1.1251983592512509e+20
Biscayne Backyard Barbecue,5,1.1843062947041478e+20
Crab Du Jour Cajun Seafood & Bar,5,1.1112594232934102e+20
Crab Du Jour Cajun Seafood & Bar,5,1.1164268477872066e+20
Crab Du Jour Cajun Seafood & Bar,3,1.0102283424666934e+20
Crab Du Jour Cajun Seafood & Bar,5,1.0296869419154004e+20
Crab Du Jour Cajun Seafood & Bar,2,1.0706853315933926e+20
Crab Du Jour Cajun Seafood & Bar,5,1.1411981934470804e+20
Crab Du Jour Cajun Seafood & Bar,5,1.097488107158882e+20
Crab Du Jour Cajun Seafood & Bar,2,1.0300142740392211e+20
Crab Du Jour Cajun Seafood & Bar,5,1.1190987440738815e+20
Crab Du Jour Cajun Seafood & Bar,5,1.1383858504943133e+20
Flock and Stock,4,1.0977553724714036e+20
Flock and Stock,3,1.1547864934409113e+20
Flock and Stock,2,1.0530008212719377e+20
Flock and Stock,5,1.146867379397933e+20
Flock and Stock,1,1.1246044337207294e+20
Flock and Stock,4,1.1143900703609029e+20
Flock and Stock,5,1.1705966838908158e+20
Flock and Stock,3,1.1517293683919664e+20
Flock and Stock,5,1.0794761036037353e+20
Flock and Stock,5,1.0667092962391294e+20
Flock and Stock,5,1.0924784664656518e+20
Flock and Stock,1,1.0896306902000471e+20
Flock and Stock,1,1.12182895510231e+20
Flock and Stock,1,1.0826759396394138e+20
Flock and Stock,1,1.1346953847494903e+20
Flock and Stock,2,1.162469337551707e+20
Flock and Stock,1,1.1598271352115796e+20
Sizzler,4,1.1595473176185522e+20
Sizzler,4,1.079479996375956e+20
Sizzler,1,1.1461405272374406e+20
Pi Pizza,1,1.1162408199016487e+20
Pi Pizza,5,1.0896241200174876e+20
Pi Pizza,5,1.1381632174703616e+20
Pi Pizza,5,1.176603667538402e+20
Pi Pizza,5,1.0693738628714013e+20
Pi Pizza,5,1.1642332759337042e+20
Pi Pizza,1,1.110476279449517e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.0895934733576095e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.139480125848297e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.1252338188498344e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.0813854980611075e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.08176834192646e+20
Pizza cubana& Italiana Dileo's House LLC,4,1.1341482592208277e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.1817309860173005e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.1021763944092182e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.0973973953100192e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.1268799235797303e+20
Pizza cubana& Italiana Dileo's House LLC,4,1.183706687989528e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.1756928263583366e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.1431613040734016e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.0087320312414506e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.0283146059137787e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.1791698424521156e+20
Pizza cubana& Italiana Dileo's House LLC,5,1.1799475397960974e+20
Dick's Restaurant and Bar,4,1.1527622706791743e+20
Dick's Restaurant and Bar,5,1.0503120055628284e+20
Dick's Restaurant and Bar,4,1.144969468855795e+20
Dick's Restaurant and Bar,4,1.1426509535316466e+20
Dick's Restaurant and Bar,5,1.089563522194488e+20
Cajun Boil Express,5,1.089400155126638e+20
Cajun Boil Express,5,1.00615040468609e+20
Cajun Boil Express,5,1.1282494115230738e+20
Cajun Boil Express,5,1.0840810708121176e+20
Cajun Boil Express,5,1.0202278085470432e+20
The Island Coffee,5,1.182183186166247e+20
The Island Coffee,5,1.073438528268428e+20
The Island Coffee,1,1.1538883987052203e+20
The Island Coffee,3,1.1337721663790593e+20
JK Fast Food & Fruit,5,1.1649605210590454e+20
JK Fast Food & Fruit,5,1.1618524566720494e+20
JK Fast Food & Fruit,5,1.1633474243389696e+20
JK Fast Food & Fruit,5,1.078992805660382e+20
JK Fast Food & Fruit,4,1.0467773207418624e+20
JK Fast Food & Fruit,5,1.15687737034661e+20
JK Fast Food & Fruit,5,1.0312806059268894e+20
JK Fast Food & Fruit,5,1.104293516352266e+20
JK Fast Food & Fruit,5,1.1747834104345736e+20
JK Fast Food & Fruit,5,1.1146632684592883e+20
JK Fast Food & Fruit,5,1.1225739969394056e+20
JK Fast Food & Fruit,4,1.0893437144976664e+20
JK Fast Food & Fruit,5,1.1009473724852693e+20
Power Meals,5,1.089269423155546e+20
Power Meals,5,1.047154717471878e+20
Power Meals,5,1.1833072519558735e+20
Power Meals,5,1.1585165157986737e+20
Power Meals,5,1.1375200325781124e+20
Mainstay Tavern,5,1.1313267313666417e+20
Mainstay Tavern,5,1.0891668954347792e+20
Mainstay Tavern,3,1.1593378669833298e+20
Mainstay Tavern,2,1.1054268728056486e+20
Nutri-Corner Protein Smoothies and More,5,1.0711250487274077e+20
Nutri-Corner Protein Smoothies and More,5,1.1685013020211392e+20
Nutri-Corner Protein Smoothies and More,5,1.0333007295884514e+20
Nutri-Corner Protein Smoothies and More,5,1.0890858187158782e+20
Nutri-Corner Protein Smoothies and More,5,1.0553425700125286e+20
Papa Nose Italian Eatery,5,1.083477162657347e+20
Papa Nose Italian Eatery,5,1.0357909334125208e+20
Papa Nose Italian Eatery,1,1.0890070881563694e+20
Panaggio’s Fusion Bistro,5,1.1297532182778716e+20
Panaggio’s Fusion Bistro,5,1.0051812740364468e+20
Panaggio’s Fusion Bistro,2,1.1823231963007418e+20
